CID,Username,Password,Signature,Type,FirstName,LastName,ClientID,ClientSecret
1,admin,adminpass,g0t r00t?,User,System,Administrator,6bcd61cad9c27967c8a1d19c13400294,7dc7b38ba731be3df564b6d55017cb1adbfd0b3ecfa7b36ad028afaeda14d753
2,adrian,somepassword,Zombie Films Rock!,User,Adrian,Crenshaw,197b7229fc8f7f13be639052197e03ea,96c9d3a438f4e342d0ba12e5d1aaa33ed061fc849ae4456ae8ee1217408ed194
3,patches,tortoise,meow,User,Patches,Pester,b27acb250d330962ce1c9d3f6bf04c78,ed9c6316f42a3cfb1619179bb0bf9199d5550b24e4b09d3200d48b5c2217381a
4,jeremy,password,d1373 1337 speak,User,Jeremy,Druin,e963f65f85bd74d0a03b555210cb5d1d,b519c9e991eb57c879c488cdff2d603181e89567b25300ee19a0aea838c60fe4
5,bryce,password,I Love SANS,User,Bryce,Galbraith,f8765371b42ecb0f79cca7f7b4c513f9,f6037800ddc87bb4bea7e0535bf5e519de8c78954295a056a4da20a8a5f9cd03
6,samurai,samurai,Carving fools,User,Samurai,WTF,38e5465d7a8c184e922ecbc906b3ede6,6df04c8a5f9a818b5430f96a40cac26ebdeaed3ea08109b36418e5724f69323d
7,dodgerjim,password,Rome is burning,User,Jim,Rome,419a5472954b40c65a9b681de32643c4,3ec198aabfb7220ef442506934dbfdc2496fe6e5cb091cd5361e1f2c9aba3b58
8,bobby,password,Hank is my dad,User,Bobby,Hill,7214444fc9bd573da9563df10cdfac74,53d64e76c446e940a6d24213c3a9dfaa2ab918095777d6da79b3578a8b3db48e
9,simba,password,I am a super-cat,User,Simba,Lion,bda1a5a1cfade91e8b0b1dbb2bcfd4f4,e245dcb4b7ceb460e742065912cec10e88e046d060968b7a4c1d0f22350a0080
10,dreveil,password,Preparation H,User,Dr.,Evil,59ec8288a16ac566701a20326d4948fa,50d640591f7c55976ed6edde181631405e3044f8a6800382dfa5d3e94dfb3938
11,scotty,password,Scotty do,User,Scotty,Evil,a0ac114c99b8ea7e9162b56f32b32a56,f9e2f83ec8386578f0dac588b43c94042ac91c801fc093b0416bc9ca1c7a9ed9
12,cal,password,C-A-T-S Cats Cats Cats,User,John,Calipari,55d82541272e9b799494dd5107c51ffa,b329801deeac95d1ba114eab040a9dadf0048cc87bab4b4d8bb00d417866f3a5
13,john,password,Do the Duggie!,User,John,Wall,0344bf661cc361aab51cc53e28b0a76d,9d7dc5c4d2ccac734929c014ee92cc39d3df636ef8c0c6ce91f39e9fc10de709
14,kevin,42,Doug Adams rocks,User,Kevin,Johnson,4ed8241ca112c1239ae414d718be2327,6fdb98d80fb1b6ee219d6489e72ef6b3408f5279f0b88e260eb3aa6ee16d588e
15,dave,set,Bet on S.E.T. FTW,User,Dave,Kennedy,0e6d92d142996ace17ffbf78591b876b,0c63b952fdd312ea2f84d454f03da2803b4ebdcab181e0a11f34cecdcfbb07a1
16,rocky,stripes,treats?,User,Rocky,Paws,0cc3f9b3881bc0b97c34ad6c846c91d6,92fe04964f8bdabdc929dcefb9acb44c1a775fa25845931f726c18f770099889
17,tim,lanmaster53,Because reconnaissance is hard to spell,User,Tim,Tomes,408e96403e5738386667e1e4b3045ee5,fb0df332a54a3d77bad9e232a50616bde59e16f5571aec40a278628f5a3c70e9
18,ABaker,SoSecret,Muffin tops only,User,Aaron,Baker,2703a353e6ca7c2061f43741a26d25f3,d6ce7b68cc6e1f6aed0871f54d7a4c7a60b2c2081875cb777ffae188ee4aa375
19,PPan,NotTelling,Where is Tinker?,User,Peter,Pan,08cc7d87f8d64d973fb31f7663f406ea,9145cbf2b783d22c13f28be3d393bd4badb4e362763b1a2f8f5bc2c4ce782218
20,CHook,JollyRoger,Gator-hater,User,Captain,Hook,2a41e2febbbb23468f6c501ac583cb81,91c5896e0358e7c0c59f61afa5562cc92245a3cf7d5963c1c8662f2345021ce3
21,james,i<3devs,Occupation: Researcher,User,James,Jardine,60733a13d71c88afdf5acb29f1c69547,ce5d0b57b199d3a5e74535ce4604a9c84ee635f9518374d13f688db9e828fbfb
22,ed,pentest,Commandline KungFu anyone?,User,Ed,Skoudis,ac39a04e6b0553a7211946273f0f2967,594a519f15cb7ad1b9994d0b646a9baeae1b4871cce89ef23496a8b43cf88048
23,joe,holly,Off by one error,User,Joe,Holly,23f00d49a5b9857bceb0c34da5a527bf,6cd342309bc2ddf785579eb2876090f783749797d61be7b64e26fc8a47c2c55a
24,peter,initech123,I dont like my job,User,Peter,Gibbons,293c1050c037e838ffd02a1de1173ae2,20ce7530ceaf6836ed2b5b8393f3399abc4e2710be4242f9c238c670ac68b6cd
25,milton,stapler,Wheres my stapler?,User,Milton,Waddams,505d028409014bfcc58a334d6854d87b,0dd5044d675ddf2cd7932dcf52eede101570db4cbe15fda79f3c5c8d2fc4cfd9
26,bill,tpsreports,Did you get the memo?,User,Bill,Lumbergh,927c286e82ff07ce6ef329fa2bdf6507,79e751524d50592734a8694663879c795c5da0ae700214b31173784fa784b889
27,samir,nojoke123,No one can pronounce my last name,User,Samir,Nagheenanajar,0dbf4d8122ff27430a628a11016dbccc,78edbeaf1d19b906902a5121e94fa18830be72eb57d773cd94da1f9410a74c18
28,michael_b,michael123,We fixed the glitch,User,Michael,Bolton,54f12e2fb0c73e57d56611fa3560318c,52c2b0f7568a34a35fa77c0fb9b0f8e9d067089d635f7c882d4e252498a52c0f
29,michael_s,worldsbestboss,Worlds Best Boss,User,Michael,Scott,40851f96db33641237784b0311b2b39d,0f1e8e330d6d81fadd33e615aeccfef85c44daaa31fefc4527c56629b95ecef7
30,jim,bearsbeatsbattlestar,Pranking Dwight,User,Jim,Halpert,d8eb445a4704bf783d98618da609b9f5,28ff3d0c84060c6a4f9aec6d43e3fe6d0e2e938f6a55d83cd335417e93199696
31,dwight,assistant_to_the_regional_manager,Bears. Beets. Battlestar Galactica.,User,Dwight,Schrute,b32dea3f0df704f9f51ff5a7854df20d,a0e12bb87d322b1dc4334b9db1f965947f5b56befd509659520f407ecf15fefa
32,pam,pammy123,Dunder Mifflin,User,Pam,Beesly,e2e361c77f7fa901e597e6c273eb126d,c010cdc6af931cf0ed6734411f122ffb393d8b05d843adbb1f47f05e2716e9d1
33,ryan,temp123,I am the temp,User,Ryan,Howard,72e63beabcdd992f74b60c724c3d88fc,483b7af88e124a3694652843d5d9e59db612204cec6c5c3b14096f5fb401f83c
34,derek,bluestrike,Im pretty sure theres more to life than being really, really ridiculously good looking,User,Derek,Zoolander,872017e3e65630123c028f9c19c770aa,0efb07fbec7be76f74eb258158b124fb5cad3b9b7bb865f607c07a02ceb2b42a
35,hansel,hansel123,Hansel. Hes so hot right now.,User,Hansel,,53a8fdd3e0afd300b1953b6f7873b4ea,635a81976c115772d41203f6c63c6cf0b47b413fcf13ae170ba3ac51f6beece7
36,mugatu,mugatu123,I invented the piano key necktie!,User,Jacobim,Mugatu,7496ef8989f85a1511d04ec7befb93e2,95f93cc0bc7eb36b0ae59537802b008a68c91b03368d92b7a905693354ecdfdd
37,matilda,journalist123,Investigative reporter,User,Matilda,Jeffries,21b336fe57a350fac912774caf1c4cb5,2f3a32337d6cca548734e088f726d7abe9874bd9ae03b2549286739655e7bd4a
38,stackhawk,Kaakaww,Swooping in for security,User,Stack,Hawk,368718c789033cc1af05b21635b07f5a,8096bcd16881a82f56eccc5bf1f6ef36b85373b3040a4af510290f9b82228468
39,zoolander,zoolander123,I am really, really, really, ridiculously good looking,User,Derek,Zoolander,36f447c197f899e9767fc34f220c1b82,90dc2d6aaa8e4da1bb72196d03776403061d252cbafb23046147e88322807336
40,maury,maury123,Youre the guy who cant turn left,User,Maury,Ballstein,8ab8780c581dad8c8ae6ac3c2c39c3db,fd4b0e765ce5a12b1a488af3e6f6b5a4f745072d4d197fa5d9572241ab7be45f
